Birey_ID,Tarihlendirme(GÖ),Okuma_Derinliği,Kültür,Gruplar,Country,Publication,Enlem,Boylam,Veri_Tipi,Cinsiyet,Ind_type
ALA004,3772,0.0706022,Alalakh_MLBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.23778,36.38472,1240K,M,Antik
ALA095,3776,0.0432854,Alalakh_MLBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.23778,36.38472,1240K,M,Antik
ALA023,3783,0.00608055,Alalakh_MLBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.23778,36.38472,1240K,F,Antik
CTG025,3792,0.183057,Anatolia_CineTepecik_BA,Neolitik Sonrası,Turkey,KoptekinCurrentBiology2023,37.6,28.01,Rastgele dizileme,F,Antik
ALA035,3794,0.0128466,Alalakh_MLBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.23778,36.38472,1240K,M,Antik
ALA084,3797,0.00560176,Alalakh_MLBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.23778,36.38472,1240K,M,Antik
ALA024,3799,0.00285858,Alalakh_MLBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.23778,36.38472,1240K,F,Antik
ALA015,3801,0.0338632,Alalakh_MLBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.23778,36.38472,1240K,M,Antik
I5737,3920,0.0744608,TUR_Aegean_Izmir_Yassitepe_MBA,Neolitik Sonrası,Turkey,LazaridisScience2022,38.42,27.14,1240K,M,Antik
I14788,4020,0.0697602,TUR_SE_Kilis_MBA,Neolitik Sonrası,Turkey,LazaridisScience2022,36.69,37.17,1240K,M,Antik
I14794,4020,0.0356717,TUR_SE_Kilis_EBA_A,Neolitik Sonrası,Turkey,LazaridisScience2022,36.69,37.17,1240K,F,Antik
I14797,4020,0.0661914,TUR_SE_Kilis_EBA_A,Neolitik Sonrası,Turkey,LazaridisScience2022,36.69,37.17,1240K,M,Antik
I14798,4020,0.0558039,TUR_SE_Kilis_EBA_A,Neolitik Sonrası,Turkey,LazaridisScience2022,36.69,37.17,1240K,M,Antik
I16577,4020,0.00040867,TUR_EBA_lc,Neolitik Sonrası,Turkey,LazaridisScience2022,36.69,37.17,1240K,M,Antik
MA2210,4020,0.809377,Anatolia Early Bronze Age,Neolitik Sonrası,Turkey,DamgaardScience2018,38.629306,34.297718,Rastgele dizileme,M,Antik
MA2212,4020,0.780556,Anatolia Early Bronze Age,Neolitik Sonrası,Turkey,DamgaardScience2018,38.629306,34.297718,Rastgele dizileme,M,Antik
MA2213,4020,1.07314,Anatolia Early Bronze Age,Neolitik Sonrası,Turkey,DamgaardScience2018,38.629306,34.297718,Rastgele dizileme,F,Antik
TIT003,4120,0.00016162,TitrişHöyük_EBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,37.4759306,38.6783333,1240K,M,Antik
TIT012,4120,0.00133605,TitrişHöyük_EBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,37.4759306,38.6783333,1240K,U,Antik
TIT014,4120,0.00037671,TitrişHöyük_EBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,37.4759306,38.6783333,1240K,U,Antik
